,dates,VTSMX,VFINX,VIVAX,VIMSX,VMVIX,NAESX,VISVX,VDAIX,VGSIX,VCSAX,VHT,VDE,VGTSX,VTMGX,VTRIX,VFSVX,VEIEX,EWX,FM,VNQI,EWD,EWA,EZA,GLD,PCRIX,EMB,PIGLX,VICSX,VBMFX,VIPSX,VWITX,VFSTX,VFISX
0,2019-05-17,71.63,266.13,42.40,44.54,42.83,74.12,31.26,44.76,29.27,73.54,166.55,86.95,16.55,13.14,35.00,39.24,25.90,42.62,28.31,58.32,30.64,21.59,54.35,121.51,6.03,109.21,8.92,23.48,10.70,12.94,14.30,10.61,10.52
1,2019-05-16,70.99,263.70,42.05,44.18,42.56,73.58,31.09,44.37,29.11,73.01,165.18,86.40,16.49,13.06,34.87,39.16,26.00,42.85,28.07,57.97,30.41,21.41,54.61,122.39,5.98,109.19,8.94,23.50,10.71,12.96,14.29,10.62,10.53
2,2019-05-15,70.58,262.12,41.96,44.00,42.49,73.32,31.05,44.22,28.93,72.47,164.60,85.90,16.42,13.00,34.76,39.01,25.92,42.66,27.89,57.71,30.30,21.25,54.77,122.46,5.95,108.79,8.93,23.44,10.69,12.94,14.28,10.61,10.52
3,2019-05-14,69.95,260.01,41.69,43.54,42.13,72.44,30.73,43.94,28.84,72.18,163.64,84.73,16.29,12.89,34.44,38.67,25.73,42.20,27.85,57.21,29.87,21.27,54.74,122.67,5.87,108.45,8.93,23.45,10.70,12.93,14.27,10.61,10.52
4,2019-05-13,71.75,266.43,42.55,44.68,43.16,74.69,31.61,44.78,28.87,72.83,167.06,86.39,16.64,13.14,35.12,39.55,26.45,43.70,28.78,57.97,30.69,21.71,56.28,121.43,5.89,109.33,8.95,23.38,10.67,12.89,14.26,10.60,10.51
5,2019-05-12,71.48,265.35,42.30,44.53,42.98,74.52,31.51,44.48,28.57,72.02,167.27,85.89,16.55,13.08,34.97,39.28,26.28,43.39,28.79,57.67,30.43,21.45,54.88,121.20,5.87,108.96,8.93,23.41,10.68,12.87,14.25,10.60,10.51
6,2019-05-11,71.66,266.07,42.39,44.57,43.03,74.70,31.58,44.51,28.48,72.13,167.44,85.97,16.71,13.18,35.28,39.68,26.65,43.86,28.90,57.80,30.74,21.40,55.68,120.91,5.90,109.29,8.92,23.38,10.66,12.85,14.25,10.59,10.50
7,2019-05-10,71.72,266.49,42.52,44.57,43.16,74.99,31.74,44.54,28.51,72.22,167.16,86.04,16.73,13.19,35.30,39.78,26.69,43.98,28.52,57.83,30.65,21.40,55.72,121.21,5.90,109.17,8.93,23.42,10.68,12.88,14.23,10.59,10.50
8,2019-05-09,73.02,270.95,43.15,45.32,43.79,76.43,32.27,45.23,29.04,72.95,170.76,86.63,16.97,13.39,35.91,40.24,27.02,44.50,28.68,58.25,31.49,21.62,56.43,120.81,5.95,109.75,8.94,23.37,10.66,12.88,14.22,10.59,10.50
9,2019-05-08,73.30,272.15,43.32,45.53,44.05,76.50,32.31,45.40,29.14,73.04,169.61,86.55,17.16,13.51,36.28,40.68,27.58,45.32,28.75,58.74,32.02,21.83,57.38,120.65,5.97,109.77,8.95,23.33,10.65,12.85,14.21,10.58,10.49
