,30631
VTSMX Weight,0.004616210720972009
VFINX Weight,0.004034574914111555
VIVAX Weight,0.04431362208067626
VIMSX Weight,0.019350841082208036
VMVIX Weight,0.016590308400815774
NAESX Weight,0.06481619439587283
VISVX Weight,0.016587932652113904
VDAIX Weight,0.019540609098873694
VGSIX Weight,0.042978072185841085
VCSAX Weight,0.010760086609213081
VHT Weight,0.0038478036507984537
VDE Weight,0.009288417282309001
VGTSX Weight,0.01030793597938348
VTMGX Weight,0.027904655440152613
VTRIX Weight,0.027810071568995176
VFSVX Weight,0.04509262341900658
VEIEX Weight,0.014515086491480996
EWX Weight,0.009747058283848985
FM Weight,0.025026968632230064
VNQI Weight,0.020445609818824102
EWD Weight,0.013615858596317884
EWA Weight,0.027791010536449143
EZA Weight,0.003318130846896642
GLD Weight,0.04755312082042185
PCRIX Weight,0.05070172150821417
EMB Weight,0.05150245174889122
PIGLX Weight,0.05052801636030817
VICSX Weight,0.03238907214909025
VBMFX Weight,0.04155660412114316
VIPSX Weight,0.06355246700796287
VWITX Weight,0.06837923218057826
VFSTX Weight,0.04680683228260929
VFISX Weight,0.06473079913338946
